name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description,icon,stations
Chicago,2016-03-01,-0.1,-6.3,-2.7,-6.1,-14.2,-9.7,-6.4,76.0,1.556,100,33.33,0.0,0.0,38.1,9.5,1013.1,90.9,12.6,2016-03-01T06:24:45,2016-03-01T17:41:45,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-02,0.5,-9.1,-3.7,0.5,-14.1,-7.8,-13.6,47.5,0.0,0,0.0,3.0,1.9,17.9,253.6,1021.8,45.2,15.9,2016-03-02T06:23:09,2016-03-02T17:42:57,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-03,0.6,-1.7,-0.6,-1.7,-6.4,-5.0,-3.6,80.5,1.548,100,45.83,0.0,1.1,23.6,60.9,1019.3,100.0,7.8,2016-03-03T06:21:33,2016-03-03T17:44:08,0.83,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-04,3.7,-5.1,-0.1,2.1,-9.1,-3.8,-7.2,59.5,0.855,100,8.33,0.0,0.0,19.7,211.0,1022.3,63.1,14.8,2016-03-04T06:19:56,2016-03-04T17:45:18,0.86,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-05,4.3,-1.6,2.0,2.7,-6.4,-1.4,-1.8,76.2,0.0,0,0.0,0.0,0.0,20.0,315.8,1020.3,100.0,11.3,2016-03-05T06:18:18,2016-03-05T17:46:29,0.89,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-06,11.1,2.1,6.2,11.1,-2.9,3.4,-0.5,62.8,0.0,0,0.0,0.0,0.0,33.1,188.3,1020.6,90.0,15.3,2016-03-06T06:16:40,2016-03-06T17:47:39,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-07,16.6,8.3,12.7,16.6,5.2,11.8,4.9,59.1,0.079,100,8.33,0.0,0.0,27.5,192.4,1012.0,91.0,16.0,2016-03-07T06:15:01,2016-03-07T17:48:49,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-08,22.0,14.9,17.7,22.0,14.9,17.7,10.0,61.3,0.0,0,0.0,0.0,0.0,35.9,200.0,1011.5,83.0,16.0,2016-03-08T06:13:22,2016-03-08T17:49:58,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-09,18.1,12.6,15.7,18.1,12.6,15.7,11.8,77.7,1.517,100,41.67,0.0,0.0,23.8,224.6,1011.9,99.5,15.4,2016-03-09T06:11:42,2016-03-09T17:51:08,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-10,11.5,5.9,8.5,11.5,3.1,6.4,3.0,68.5,0.0,0,0.0,0.0,0.0,24.7,25.5,1019.2,98.6,15.7,2016-03-10T06:10:02,2016-03-10T17:52:17,0.06,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-11,11.7,3.6,6.1,11.7,1.6,4.5,0.1,66.4,0.0,0,0.0,0.0,0.0,16.5,75.3,1027.4,66.9,16.0,2016-03-11T06:08:21,2016-03-11T17:53:26,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-12,15.0,4.0,8.7,15.0,3.0,8.2,4.1,73.6,0.0,0,0.0,0.0,0.0,17.9,76.8,1020.4,92.3,10.7,2016-03-12T06:06:40,2016-03-12T17:54:34,0.13,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-13,9.8,6.7,8.3,8.1,4.5,6.2,6.8,90.7,17.609,100,83.33,0.0,0.0,25.9,56.3,1009.0,100.0,7.1,2016-03-13T07:04:59,2016-03-13T18:55:43,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-14,11.6,6.7,8.3,11.6,4.5,7.2,6.2,86.9,3.326,100,25.0,0.0,0.0,14.6,67.5,1006.2,98.9,11.5,2016-03-14T07:03:18,2016-03-14T18:56:51,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-15,17.4,8.3,12.1,17.4,6.9,11.5,8.3,77.9,1.472,100,8.33,0.0,0.0,40.1,100.1,1004.9,95.8,10.4,2016-03-15T07:01:36,2016-03-15T18:57:59,0.25,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-16,14.7,9.3,11.7,14.7,5.0,10.5,2.8,57.4,4.747,100,41.67,0.0,0.0,58.5,246.9,1001.9,78.6,15.2,2016-03-16T06:59:54,2016-03-16T18:59:07,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-17,13.6,5.9,9.7,13.6,2.0,7.8,-2.8,42.4,0.0,0,0.0,0.0,0.0,37.1,261.8,1010.9,30.0,16.0,2016-03-17T06:58:12,2016-03-17T19:00:14,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-18,8.2,1.6,5.0,6.3,-2.5,1.5,-2.5,59.2,0.0,0,0.0,0.0,0.0,28.5,351.5,1018.2,50.1,16.0,2016-03-18T06:56:29,2016-03-18T19:01:22,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-19,7.2,2.1,4.1,5.0,-1.6,0.9,-1.6,67.0,0.0,0,0.0,0.0,0.0,21.8,40.7,1021.8,92.8,16.0,2016-03-19T06:54:47,2016-03-19T19:02:29,0.37,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-20,6.6,0.9,3.6,3.5,-3.7,0.2,-3.8,59.2,0.0,0,0.0,0.0,0.0,27.0,25.8,1022.3,63.1,16.0,2016-03-20T06:53:04,2016-03-20T19:03:36,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-21,9.9,0.4,5.2,8.1,-3.0,3.1,-4.9,49.9,0.0,0,0.0,0.0,0.0,14.9,252.7,1020.4,51.0,16.0,2016-03-21T06:51:21,2016-03-21T19:04:43,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-22,19.1,7.1,12.3,19.1,3.1,10.8,0.5,45.3,0.12,100,8.33,0.0,0.0,33.0,207.1,1008.1,90.5,16.0,2016-03-22T06:49:39,2016-03-22T19:05:50,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-23,11.5,4.2,5.7,11.5,-0.5,2.0,2.3,79.5,1.578,100,25.0,0.0,0.0,27.4,26.4,1010.0,99.2,10.2,2016-03-23T06:47:56,2016-03-23T19:06:57,0.5,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-24,4.6,-0.1,2.8,2.4,-6.5,-1.6,1.3,90.1,27.319,100,79.17,0.0,0.0,35.9,353.6,1003.6,100.0,8.0,2016-03-24T06:46:13,2016-03-24T19:08:04,0.54,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-25,7.2,-0.7,2.7,5.6,-7.2,-0.2,-3.2,65.7,0.014,100,4.17,0.0,0.0,28.7,20.5,1018.0,55.7,16.0,2016-03-25T06:44:31,2016-03-25T19:09:10,0.57,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-26,12.2,1.4,6.5,12.2,-1.0,4.7,0.3,65.7,0.0,0,0.0,0.0,0.0,23.7,113.8,1020.8,71.7,15.9,2016-03-26T06:42:48,2016-03-26T19:10:17,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-27,18.6,5.9,9.8,18.6,2.7,8.3,3.7,67.8,3.941,100,16.67,0.0,0.0,29.2,260.9,1013.6,73.2,15.3,2016-03-27T06:41:05,2016-03-27T19:11:23,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-28,11.0,4.6,7.5,11.0,2.4,4.9,1.8,67.6,0.0,0,0.0,0.0,0.0,27.2,322.9,1018.1,76.8,16.0,2016-03-28T06:39:23,2016-03-28T19:12:30,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-29,14.9,1.9,8.2,14.9,1.4,7.5,-1.3,55.1,0.0,0,0.0,0.0,0.0,22.0,112.8,1025.0,44.9,15.8,2016-03-29T06:37:41,2016-03-29T19:13:36,0.71,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-30,15.6,7.7,11.5,15.6,4.7,10.4,3.7,60.2,8.104,100,37.5,0.0,0.0,38.9,176.8,1010.7,98.7,14.7,2016-03-30T06:35:59,2016-03-30T19:14:42,0.74,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-03-31,20.2,9.1,15.2,20.2,6.7,15.0,10.7,75.0,3.112,100,45.83,0.0,0.0,36.7,226.5,995.7,95.4,15.2,2016-03-31T06:34:17,2016-03-31T19:15:48,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-01,9.9,4.2,6.4,7.4,-0.5,4.0,1.7,72.5,3.13,100,33.33,0.0,0.0,27.1,282.6,1006.8,84.5,15.5,2016-04-01T06:32:35,2016-04-01T19:16:55,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-02,4.3,-0.1,1.8,-1.0,-5.0,-3.8,-5.9,57.2,0.323,100,12.5,0.0,0.0,50.0,287.9,1008.0,56.3,14.3,2016-04-02T06:30:54,2016-04-02T19:18:01,0.84,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-03,22.1,-1.8,8.9,22.1,-4.9,6.9,-3.6,43.1,0.0,0,0.0,0.0,0.0,45.9,218.4,1010.5,65.9,16.0,2016-04-03T06:29:13,2016-04-03T19:19:07,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-04,4.9,-0.1,1.7,-0.3,-5.5,-3.7,-3.9,66.4,0.018,100,8.33,0.0,0.0,34.7,6.4,1020.4,99.4,15.3,2016-04-04T06:27:33,2016-04-04T19:20:13,0.91,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-05,8.1,-1.5,3.2,4.8,-4.9,-0.3,-6.9,48.9,0.586,100,8.33,0.0,0.0,24.0,130.1,1028.1,53.6,15.9,2016-04-05T06:25:52,2016-04-05T19:21:19,0.94,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-06,9.9,6.5,8.2,7.8,3.1,5.3,3.6,73.9,10.336,100,75.0,0.0,0.0,27.4,216.4,1003.9,99.6,12.6,2016-04-06T06:24:13,2016-04-06T19:22:25,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
Chicago,2016-04-07,7.1,2.3,4.4,3.9,-3.5,0.0,-1.1,68.1,0.751,100,20.83,0.0,0.0,33.8,318.2,1005.8,99.2,14.9,2016-04-07T06:22:33,2016-04-07T19:23:31,0.0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72534014819,72212604879,KORD,KMDW,72530094846"
